palabra,emoji,categoria,España,México,Guatemala,El Salvador,Honduras,Nicaragua,Costa Rica,Panamá,Cuba,Rep. Dominicana,Puerto Rico,Colombia,Venezuela,Ecuador,Perú,Bolivia,Paraguay,Uruguay,Argentina,Chile,Guinea Ecuatorial
colada,🥤,Comida y bebida,bebida espesa de almidon o avena con frutas,bebida espesa de almidon o avena con frutas,bebida espesa de almidon o avena con frutas,bebida espesa de almidon o avena con frutas,bebida espesa de almidon o avena con frutas,bebida espesa de almidon o avena con frutas,bebida espesa de almidon o avena con frutas,bebida espesa de almidon o avena con frutas,bebida espesa de almidon o avena con frutas,bebida espesa de almidon o avena con frutas,bebida espesa de almidon o avena con frutas,bebida espesa de avena o frutas,bebida espesa de almidon o avena con frutas,bebida espesa de avena o frutas,bebida espesa de almidon o avena con frutas,bebida espesa de almidon o avena con frutas,bebida espesa de almidon o avena con frutas,bebida espesa de almidon o avena con frutas,bebida espesa de almidon o avena con frutas,bebida espesa de almidon o avena con frutas,bebida espesa de almidon o avena con frutas
emoliente,🍵,Comida y bebida,bebida caliente de hierbas medicinales,bebida caliente de hierbas medicinales,bebida caliente de hierbas medicinales,bebida caliente de hierbas medicinales,bebida caliente de hierbas medicinales,bebida caliente de hierbas medicinales,bebida caliente de hierbas medicinales,bebida caliente de hierbas medicinales,bebida caliente de hierbas medicinales,bebida caliente de hierbas medicinales,bebida caliente de hierbas medicinales,bebida caliente de hierbas medicinales,bebida caliente de hierbas medicinales,bebida caliente de hierbas medicinales,bebida callejera nocturna de hierbas,bebida caliente de hierbas medicinales,bebida caliente de hierbas medicinales,bebida caliente de hierbas medicinales,bebida caliente de hierbas medicinales,bebida caliente de hierbas medicinales,bebida caliente de hierbas medicinales
mate,🧉,Comida y bebida,infusion de yerba mate,infusion de yerba mate,infusion de yerba mate,infusion de yerba mate,infusion de yerba mate,infusion de yerba mate,infusion de yerba mate,infusion de yerba mate,infusion de yerba mate,infusion de yerba mate,infusion de yerba mate,infusion de yerba mate,infusion de yerba mate,infusion de yerba mate,infusion de yerba mate,infusion de yerba mate,"infusion compartida, cultura nacional","infusion compartida, cultura nacional","infusion compartida, cultura nacional",infusion de yerba mate,infusion de yerba mate
tereré,🧉🧊,Comida y bebida,mate frio con agua helada,mate frio con agua helada,mate frio con agua helada,mate frio con agua helada,mate frio con agua helada,mate frio con agua helada,mate frio con agua helada,mate frio con agua helada,mate frio con agua helada,mate frio con agua helada,mate frio con agua helada,mate frio con agua helada,mate frio con agua helada,mate frio con agua helada,mate frio con agua helada,mate frio con agua helada,"mate frio, bebida nacional con hielo",mate frio con agua helada,"mate frio, bebida nacional con hielo",mate frio con agua helada,mate frio con agua helada
guayoyo,☕,Comida y bebida,cafe negro suave y aguado,cafe negro suave y aguado,cafe negro suave y aguado,cafe negro suave y aguado,cafe negro suave y aguado,cafe negro suave y aguado,cafe negro suave y aguado,cafe negro suave y aguado,cafe negro suave y aguado,cafe negro suave y aguado,cafe negro suave y aguado,cafe negro suave y aguado,cafe negro ligero,cafe negro suave y aguado,cafe negro suave y aguado,cafe negro suave y aguado,cafe negro suave y aguado,cafe negro suave y aguado,cafe negro suave y aguado,cafe negro suave y aguado,cafe negro suave y aguado
cortado,☕,Comida y bebida,espresso cortado con leche,cafe con un poco de leche,cafe con un poco de leche,cafe con un poco de leche,cafe con un poco de leche,cafe con un poco de leche,cafe con un poco de leche,cafe con un poco de leche,cafe con un poco de leche,cafe con un poco de leche,cafe con un poco de leche,cafe con un poco de leche,cafe con un poco de leche,cafe con un poco de leche,cafe con un poco de leche,cafe con un poco de leche,cafe con un poco de leche,espresso cortado con leche,espresso cortado con leche,cafe con un poco de leche,cafe con un poco de leche
marrón,☕,Comida y bebida,cafe con leche,cafe con leche,cafe con leche,cafe con leche,cafe con leche,cafe con leche,cafe con leche,cafe con leche,cafe con leche,cafe con leche,cafe con leche,cafe con leche,cafe con leche grande,cafe con leche,cafe con leche,cafe con leche,cafe con leche,cafe con leche,cafe con leche,cafe con leche,cafe con leche
pintado,☕,Comida y bebida,cafe con un poco de leche,cafe con un poco de leche,cafe con un poco de leche,cafe con un poco de leche,cafe con un poco de leche,cafe con un poco de leche,cafe con poca leche,cafe con un poco de leche,cafe con un poco de leche,cafe con un poco de leche,cafe con un poco de leche,cafe con poca leche,cafe con un poco de leche,cafe con un poco de leche,cafe con un poco de leche,cafe con un poco de leche,cafe con un poco de leche,cafe con un poco de leche,cafe con un poco de leche,cafe con un poco de leche,cafe con un poco de leche
caguama,🍺,Comida y bebida,cerveza de botella grande,botella grande de cerveza (940 ml),cerveza de botella grande,cerveza de botella grande,cerveza de botella grande,cerveza de botella grande,cerveza de botella grande,cerveza de botella grande,cerveza de botella grande,cerveza de botella grande,cerveza de botella grande,cerveza de botella grande,cerveza de botella grande,cerveza de botella grande,cerveza de botella grande,cerveza de botella grande,cerveza de botella grande,cerveza de botella grande,cerveza de botella grande,cerveza de botella grande,cerveza de botella grande
chesco,🥤,Comida y bebida,refresco gaseoso,"refresco, gaseosa (jerga juvenil)",refresco gaseoso,refresco gaseoso,refresco gaseoso,refresco gaseoso,refresco gaseoso,refresco gaseoso,refresco gaseoso,refresco gaseoso,refresco gaseoso,refresco gaseoso,refresco gaseoso,refresco gaseoso,refresco gaseoso,refresco gaseoso,refresco gaseoso,refresco gaseoso,refresco gaseoso,refresco gaseoso,refresco gaseoso
agüita,🍵,Comida y bebida,infusion o bebida ligera,infusion o bebida ligera,infusion o bebida ligera,infusion o bebida ligera,infusion o bebida ligera,infusion o bebida ligera,infusion o bebida ligera,infusion o bebida ligera,infusion o bebida ligera,infusion o bebida ligera,infusion o bebida ligera,infusion o bebida ligera,infusion o bebida ligera,infusion o bebida ligera,infusion de hierbas digestiva,infusion o bebida ligera,infusion o bebida ligera,infusion o bebida ligera,infusion o bebida ligera,infusion de hierbas digestiva,infusion o bebida ligera
batido,🥤🍓,Comida y bebida,licuado de frutas,bebida de fruta licuada con leche o agua,bebida de fruta licuada con leche o agua,bebida de fruta licuada con leche o agua,bebida de fruta licuada con leche o agua,bebida de fruta licuada con leche o agua,bebida de fruta licuada con leche o agua,bebida de fruta licuada con leche o agua,licuado de frutas,licuado de frutas,bebida de fruta licuada con leche o agua,bebida de fruta licuada con leche o agua,licuado de frutas,bebida de fruta licuada con leche o agua,bebida de fruta licuada con leche o agua,bebida de fruta licuada con leche o agua,bebida de fruta licuada con leche o agua,bebida de fruta licuada con leche o agua,bebida de fruta licuada con leche o agua,bebida de fruta licuada con leche o agua,bebida de fruta licuada con leche o agua
licuado,🥤,Comida y bebida,bebida de frutas con leche licuada,fruta batida con leche,fruta batida con leche,fruta batida con leche,bebida de frutas con leche licuada,bebida de frutas con leche licuada,bebida de frutas con leche licuada,bebida de frutas con leche licuada,bebida de frutas con leche licuada,bebida de frutas con leche licuada,bebida de frutas con leche licuada,bebida de frutas con leche licuada,bebida de frutas con leche licuada,bebida de frutas con leche licuada,bebida de frutas con leche licuada,bebida de frutas con leche licuada,bebida de frutas con leche licuada,bebida de frutas con leche licuada,bebida de frutas con leche licuada,bebida de frutas con leche licuada,bebida de frutas con leche licuada
malteada,🥤🍦,Comida y bebida,batido espeso con helado,milkshake con helado,batido espeso con helado,batido espeso con helado,batido espeso con helado,batido espeso con helado,batido espeso con helado,batido espeso con helado,batido espeso con helado,batido espeso con helado,batido espeso con helado,milkshake con helado,milkshake con helado,batido espeso con helado,batido espeso con helado,batido espeso con helado,batido espeso con helado,batido espeso con helado,batido espeso con helado,batido espeso con helado,batido espeso con helado
frappé,🥤🧊,Comida y bebida,bebida fria batida con hielo,cafe frio licuado con hielo,cafe frio licuado con hielo,bebida fria batida con hielo,bebida fria batida con hielo,bebida fria batida con hielo,bebida fria batida con hielo,bebida fria batida con hielo,bebida fria batida con hielo,bebida fria batida con hielo,bebida fria batida con hielo,bebida fria batida con hielo,bebida fria batida con hielo,bebida fria batida con hielo,bebida fria batida con hielo,bebida fria batida con hielo,bebida fria batida con hielo,bebida fria batida con hielo,bebida fria batida con hielo,bebida fria batida con hielo,bebida fria batida con hielo
paleta,🍭🍦,Comida y bebida,caramelo duro con palo (chupetin),helado de agua o crema con palito,dulce o helado con palo,dulce o helado con palo,dulce o helado con palo,dulce o helado con palo,dulce o helado con palo,dulce o helado con palo,dulce o helado con palo,dulce o helado con palo,dulce o helado con palo,helado de agua o crema con palito,dulce o helado con palo,dulce o helado con palo,caramelo duro con palo (chupetin),dulce o helado con palo,dulce o helado con palo,dulce o helado con palo,helado de agua o crema con palito,dulce o helado con palo,dulce o helado con palo
chupetín,🍭,Comida y bebida,caramelo con palo,caramelo con palo,caramelo con palo,caramelo con palo,caramelo con palo,caramelo con palo,caramelo con palo,caramelo con palo,caramelo con palo,caramelo con palo,caramelo con palo,caramelo con palo,caramelo con palo,caramelo con palo,caramelo con palito,caramelo con palo,caramelo con palo,caramelo con palito,caramelo con palito,caramelo con palo,caramelo con palo
chupete,🍭,Comida y bebida,tetina o chupon de bebe,caramelo con palo o tetina de bebe,caramelo con palo o tetina de bebe,caramelo con palo o tetina de bebe,caramelo con palo o tetina de bebe,caramelo con palo o tetina de bebe,caramelo con palo o tetina de bebe,caramelo con palo o tetina de bebe,caramelo con palo o tetina de bebe,caramelo con palo o tetina de bebe,caramelo con palo o tetina de bebe,caramelo con palo (lollipop),caramelo con palo o tetina de bebe,caramelo con palo (lollipop),caramelo con palo o tetina de bebe,caramelo con palo o tetina de bebe,caramelo con palo o tetina de bebe,caramelo con palo o tetina de bebe,tetina o chupon de bebe,caramelo con palo (lollipop),caramelo con palo o tetina de bebe
bombón,🍬🍫,Comida y bebida,chocolate relleno fino,chocolate relleno fino,dulce o chocolate pequeno,dulce o chocolate pequeno,dulce o chocolate pequeno,dulce o chocolate pequeno,dulce o chocolate pequeno,dulce o chocolate pequeno,dulce o chocolate pequeno,dulce o chocolate pequeno,dulce o chocolate pequeno,dulce o chocolate pequeno,dulce o chocolate pequeno,dulce o chocolate pequeno,dulce o chocolate pequeno,dulce o chocolate pequeno,dulce o chocolate pequeno,malvavisco esponjoso,malvavisco esponjoso,malvavisco esponjoso,dulce o chocolate pequeno
alfajor,🍪🍫,Comida y bebida,dulce de mantecado o turron,dos galletas unidas con dulce de leche,dos galletas unidas con dulce de leche,dos galletas unidas con dulce de leche,dos galletas unidas con dulce de leche,dos galletas unidas con dulce de leche,dos galletas unidas con dulce de leche,dos galletas unidas con dulce de leche,dos galletas unidas con dulce de leche,dos galletas unidas con dulce de leche,dos galletas unidas con dulce de leche,dos galletas unidas con dulce de leche,dos galletas unidas con dulce de leche,dos galletas unidas con dulce de leche,dos galletas unidas con dulce de leche,dos galletas unidas con dulce de leche,dos galletas unidas con dulce de leche,"galleta rellena de dulce de leche, snack nacional","galleta rellena de dulce de leche, snack nacional",dos galletas unidas con dulce de leche,dos galletas unidas con dulce de leche
turrón,🍬,Comida y bebida,dulce navideno de almendra,dulce de almendras y miel,dulce de almendras y miel,dulce de almendras y miel,dulce de almendras y miel,dulce de almendras y miel,dulce de almendras y miel,dulce de almendras y miel,dulce de almendras y miel,dulce de almendras y miel,dulce de almendras y miel,dulce de almendras y miel,dulce de almendras y miel,dulce de almendras y miel,barra de mani o ajonjoli con miel callejera,dulce de almendras y miel,dulce de almendras y miel,dulce de almendras y miel,dulce de almendras y miel,dulce de almendras y miel,dulce de almendras y miel
quequi,🧁🎂,Comida y bebida,pastel o queque (de cake),pastel o queque (de cake),pastelito o panque,pastel o queque (de cake),pastel o queque (de cake),pastel o queque (de cake),pastelito o panque,pastel o queque (de cake),pastel o queque (de cake),pastel o queque (de cake),pastel o queque (de cake),pastel o queque (de cake),pastel o queque (de cake),pastel o queque (de cake),pastel o queque (de cake),pastel o queque (de cake),pastel o queque (de cake),pastel o queque (de cake),pastel o queque (de cake),pastel o queque (de cake),pastel o queque (de cake)
chicle,🍬,Comida y bebida,goma de mascar,"goma de mascar, tambien 'pegado/dependiente' de alguien",goma de mascar,goma de mascar,goma de mascar,goma de mascar,goma de mascar,goma de mascar,goma de mascar,goma de mascar,goma de mascar,"goma de mascar, tambien 'pegado/dependiente' de alguien",goma de mascar,goma de mascar,goma de mascar,goma de mascar,goma de mascar,goma de mascar,goma de mascar,goma de mascar,goma de mascar
